	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	24.227.222.176:53281	中国 安徽 滁州 移动	HTTP代理	5.1	86天 11小时 32分钟 31秒	2138	2019年5月6日 13:28
1	高匿代理服务	89.37.0.68:8080	中国 河北 衡水 电信	HTTPS代理	4.77	157天 1小时 14分钟 19秒	64772	2019年5月6日 13:28
2	高匿代理服务	159.89.83.140:80	中国 广东 韶关 电信	HTTP代理	4.94	85天 18小时 49分钟 31秒	6614	2019年5月6日 13:28
3	高匿代理服务	182.253.66.206:3128	中国 四川 内江 联通	HTTP,HTTPS代理	4.17	118天 3小时 47分钟 0秒	13099	2019年5月6日 13:27
4	高匿代理服务	182.93.94.98:46317	中国 河南 平顶山 平煤神马集团	HTTP代理	2.88	6天 12小时 25分钟 58秒	615	2019年5月6日 13:27
5	高匿代理服务	64.23.56.171:3128	中国 贵州 黔东南 移动	HTTP,HTTPS代理	1.48	250天 17小时 37分钟 54秒	322194	2019年5月6日 13:27
6	高匿代理服务	119.254.94.114:34422	中国 北京 北京 光环新网/电信	HTTP,HTTPS代理	2.01	157天 1小时 14分钟 19秒	11429	2019年5月6日 13:27
7	高匿代理服务	124.12.53.139:80	中国 台湾 高雄	HTTPS代理	1.47	62天 19小时 54分钟 25秒	56	2019年5月6日 13:26
8	高匿代理服务	190.52.193.108:80	中国 河北 衡水 移动	HTTP代理	2.8	71天 1小时 14分钟 20秒	21425	2019年5月6日 13:24
9	高匿代理服务	163.204.243.187:9999	中国 广东 汕尾 联通	HTTP,HTTPS代理	2.13	97天 19小时 13分钟 58秒	46	2019年5月6日 13:24
10	高匿代理服务	217.12.212.150:29639	中国 江苏 南京 百度/电信	HTTPS代理	6.84	85天 23小时 1分钟 47秒	416	2019年5月6日 13:21
11	高匿代理服务	103.80.236.109:53281	中国 香港  有線電視	HTTP,HTTPS代理	6.95	157天 1小时 9分钟 47秒	40020	2019年5月6日 13:21
12	高匿代理服务	45.64.133.178:8080	中国 四川 绵阳 电信	HTTP,HTTPS代理	4.7	81天 16小时 1分钟 17秒	15473	2019年5月6日 13:21
13	高匿代理服务	112.78.149.90:8080	中国 辽宁 沈阳 移动	HTTP,HTTPS代理	4.65	157天 1小时 8分钟 40秒	33183	2019年5月6日 13:20
14	高匿代理服务	79.135.194.127:8080	中国 四川 雅安 电信	HTTP,HTTPS代理	5.31	78天 2小时 58分钟 29秒	7926	2019年5月6日 13:20
15	高匿代理服务	43.247.37.26:8083	中国 山东 淄博 电信	HTTP,HTTPS代理	2.91	21天 22小时 25分钟 37秒	1811	2019年5月6日 13:20
16	高匿代理服务	190.85.136.34:48480	中国 山东 日照 电信	HTTP代理	3.73	105天 4小时 48分钟 12秒	21778	2019年5月6日 13:19
17	高匿代理服务	103.81.13.225:57803	中国 山东 滨州 联通	HTTP代理	5.58	119天 18小时 23分钟 43秒	2093	2019年5月6日 13:19
18	高匿代理服务	43.247.136.34:35542	中国 河北 沧州 联通	HTTPS代理	5.9	144天 4小时 20分钟 46秒	2639	2019年5月6日 13:18
19	高匿代理服务	41.78.174.55:8080	中国 河北 邯郸 移动	HTTP,HTTPS代理	5.8	23天 12小时 23分钟 16秒	165	2019年5月6日 13:18
20	高匿代理服务	5.135.71.160:80	中国 山西 太原 移动	HTTP代理	0.72	75天 19小时 6分钟 13秒	12541	2019年5月6日 13:18
21	高匿代理服务	115.218.210.25:9000	中国 浙江 温州 电信	HTTP代理	0.59	66天 16小时 23分钟 6秒	58	2019年5月6日 13:18
22	高匿代理服务	117.90.252.88:9000	中国 江苏 镇江 电信	HTTP代理	0.55	41天 3小时 6分钟 1秒	113	2019年5月6日 13:17
23	高匿代理服务	203.142.74.173:8888	中国 安徽 铜陵 电信	HTTPS代理	5.5	46天 20小时 58分钟 30秒	3584	2019年5月6日 13:16
24	高匿代理服务	155.232.186.30:3128	中国 北京 北京 腾讯云	HTTP,HTTPS代理	5.32	133天 5小时 31分钟 40秒	1430	2019年5月6日 13:16
25	高匿代理服务	12.157.150.230:51576	中国 浙江 台州 电信	HTTPS代理	3.43	157天 1小时 4分钟 12秒	38602	2019年5月6日 13:16
26	高匿代理服务	130.68.124.40:80	中国 河南 驻马店 电信	HTTP代理	5.29	23天 20小时 6分钟 31秒	1512	2019年5月6日 13:15
27	高匿代理服务	180.179.13.135:80	中国 辽宁 阜新 联通	HTTP代理	6.43	76天 11小时 2分钟 1秒	1644	2019年5月6日 13:15
28	高匿代理服务	185.132.133.185:8080	中国 江苏  电信/基站WiFi	HTTP,HTTPS代理	4.57	63天 17小时 19分钟 52秒	3588	2019年5月6日 13:14
29	高匿代理服务	103.47.175.73:8080	中国 湖北 襄阳 铁通	HTTP,HTTPS代理	6.6	2天 11小时 30分钟 37秒	22	2019年5月6日 13:14
30	高匿代理服务	170.84.68.69:8080	中国 湖南 衡阳 电信	HTTP,HTTPS代理	6.0	81天 2小时 50分钟 52秒	11042	2019年5月6日 13:14
31	高匿代理服务	159.192.136.67:8080	中国 江西 新余 移动	HTTP,HTTPS代理	5.96	81天 14小时 50分钟 0秒	3694	2019年5月6日 13:14
32	高匿代理服务	118.69.61.212:53281	中国 吉林 吉林 电信	HTTPS代理	6.04	157天 1小时 1分钟 9秒	43779	2019年5月6日 13:14
33	高匿代理服务	79.134.211.30:46852	中国 重庆 重庆 京宽网络	HTTP,HTTPS代理	3.34	39天 23小时 36分钟 48秒	5046	2019年5月6日 13:14
34	高匿代理服务	18.218.73.88:80	中国 广东 佛山 移动	HTTP代理	0.69	17天 17小时 7分钟 30秒	790	2019年5月6日 13:13
35	高匿代理服务	159.138.62.138:1080	中国 香港	HTTP,HTTPS代理	5.4	6天 0小时 35分钟 1秒	1378	2019年5月6日 13:13
36	高匿代理服务	221.122.91.66:80	中国 北京 北京 电信/联通	HTTPS代理	3.77	156天 15小时 33分钟 23秒	2665	2019年5月6日 13:13
37	高匿代理服务	197.234.55.161:8083	中国 黑龙江 鸡西 联通	HTTP代理	6.62	23天 20小时 4分钟 18秒	493	2019年5月6日 13:13
38	高匿代理服务	221.122.91.34:80	中国 北京 北京 电信/联通	HTTPS代理	5.34	156天 14小时 39分钟 37秒	2732	2019年5月6日 13:13
39	高匿代理服务	188.169.66.70:55538	中国 江苏 无锡 电信/联通/移动	HTTP代理	1.04	36天 13小时 48分钟 0秒	813	2019年5月6日 13:12
40	高匿代理服务	92.51.40.1:8080	中国 广东 江门 联通	HTTP,HTTPS代理	5.46	157天 1小时 1分钟 30秒	20373	2019年5月6日 13:12
41	高匿代理服务	183.129.244.22:11233	中国 浙江 杭州 电信	HTTP,HTTPS代理	3.17	7天 14小时 12分钟 32秒	18	2019年5月6日 13:12
42	高匿代理服务	103.85.92.221:8080	中国 云南 文山 电信	HTTP,HTTPS代理	2.97	156天 17小时 57分钟 56秒	463	2019年5月6日 13:12
43	高匿代理服务	190.152.5.126:53040	中国 四川 自贡 联通	HTTP代理	2.38	157天 0小时 59分钟 44秒	34244	2019年5月6日 13:12
44	高匿代理服务	202.74.243.214:31601	中国 湖北 襄阳 电信	HTTP,HTTPS代理	5.29	152天 19小时 13分钟 42秒	41797	2019年5月6日 13:11
45	高匿代理服务	77.42.248.119:8080	中国 台湾  谷歌	HTTP,HTTPS代理	4.62	133天 19小时 15分钟 34秒	14104	2019年5月6日 13:11
